  -20.2587    -0.6850    -2.4100    -1.4896     2.5052    -1.0984    -1.0766     0.3062    -0.3116    -4.0653
    4.6264    20.6617    -0.7446     0.1837    -0.6620     1.1389     3.9351     2.1170    -2.0498    -1.2319
    1.2766    -4.0502   -23.0572     0.0922     3.4825     0.6930     3.1571     1.5064    -0.0410    -2.4444
   -4.5891     3.7594     1.5353    24.5183    -2.6448     0.7015     0.0944    -4.7081    -4.1317    -1.0960
    3.7301     0.2627    -2.8939     1.8805    29.4936    -3.9473    -1.0307     3.0383     4.8702     4.7442
    1.4747     0.1261     3.8457    -0.2042     3.9426   -28.0398    -3.2990    -1.0599    -3.6907    -1.3654
    3.6475     1.1855    -1.3050    -2.7603    -1.6026    -2.0242    25.8052    -0.7339     3.1272     0.9279
   -3.4000     1.6884     3.2483    -1.6289    -1.2677     0.9104    -4.9457   -29.4259    -2.5728     0.7757
    1.5783    -4.1726     2.2079     0.1505     4.2968    -0.0690    -4.4303    -4.5757    30.7744    -1.9903
   -0.2443     0.9864     1.1149    -1.3354    -0.4559     0.2028    -0.8327     2.7795    -4.2451   -16.1495
   -8.1747     0.6136     1.1913    -7.2499     5.9908    -1.2605    -5.5084    -0.3305     9.5940    -4.6079
